onset	duration	brud
0.00	0.04	0
0.04	0.04	0
0.08	0.04	0
0.12	0.04	1
0.16	0.04	2
0.20	0.04	1
0.24	0.04	2
0.28	0.04	1
0.32	0.04	2
0.36	0.04	2
0.40	0.04	2
0.44	0.04	1
0.48	0.04	2
0.52	0.04	3
0.56	0.04	3
0.60	0.04	2
0.64	0.04	4
0.68	0.04	2
0.72	0.04	2
0.76	0.04	1
0.80	0.04	1
0.84	0.04	1
0.88	0.04	2
0.92	0.04	2
0.96	0.04	0
1.00	0.04	0
1.04	0.04	0
1.08	0.04	-1
1.12	0.04	-1
1.16	0.04	-1
1.20	0.04	-3
1.24	0.04	-3
1.28	0.04	-3
1.32	0.04	-5
1.36	0.04	-2
1.40	0.04	-2
1.44	0.04	-2
1.48	0.04	-3
1.52	0.04	-2
1.56	0.04	-4
1.60	0.04	-2
1.64	0.04	-4
1.68	0.04	-4
1.72	0.04	-4
1.76	0.04	-3
1.80	0.04	-3
1.84	0.04	-3
1.88	0.04	-3
1.92	0.04	-4
1.96	0.04	-4
2.00	0.04	-3
2.04	0.04	-3
2.08	0.04	-4
2.12	0.04	-3
2.16	0.04	-3
2.20	0.04	-3
2.24	0.04	-2
2.28	0.04	-2
2.32	0.04	-2
2.36	0.04	-2
2.40	0.04	-1
2.44	0.04	-1
2.48	0.04	0
2.52	0.04	-2
2.56	0.04	0
2.60	0.04	1
2.64	0.04	1
2.68	0.04	1
2.72	0.04	1
2.76	0.04	0
2.80	0.04	1
2.84	0.04	0
2.88	0.04	1
2.92	0.04	0
2.96	0.04	0
3.00	0.04	0
3.04	0.04	0
3.08	0.04	0
3.12	0.04	0
3.16	0.04	-2
3.20	0.04	0
3.24	0.04	-1
3.28	0.04	0
3.32	0.04	-1
3.36	0.04	-1
3.40	0.04	0
3.44	0.04	0
3.48	0.04	-2
3.52	0.04	-2
3.56	0.04	-3
3.60	0.04	-3
3.64	0.04	-4
3.68	0.04	-4
3.72	0.04	-5
3.76	0.04	-4
3.80	0.04	-5
3.84	0.04	-5
3.88	0.04	-5
3.92	0.04	-5
3.96	0.04	-6
4.00	0.04	-6
4.04	0.04	-7
4.08	0.04	-7
4.12	0.04	-8
4.16	0.04	-7
4.20	0.04	-7
4.24	0.04	-8
4.28	0.04	-9
4.32	0.04	-9
4.36	0.04	-9
4.40	0.04	-8
4.44	0.04	-9
4.48	0.04	-9
4.52	0.04	-8
4.56	0.04	-8
4.60	0.04	-8
4.64	0.04	-9
4.68	0.04	-9
4.72	0.04	-10
4.76	0.04	-10
4.80	0.04	-9
4.84	0.04	-10
4.88	0.04	-10
4.92	0.04	-11
4.96	0.04	-11
5.00	0.04	-11
5.04	0.04	-12
5.08	0.04	-12
5.12	0.04	-12
5.16	0.04	-11
5.20	0.04	-11
5.24	0.04	-12
5.28	0.04	-12
5.32	0.04	-12
5.36	0.04	-12
5.40	0.04	-12
5.44	0.04	-12
5.48	0.04	-12
5.52	0.04	-12
5.56	0.04	-12
5.60	0.04	-13
5.64	0.04	-12
5.68	0.04	-11
5.72	0.04	-13
5.76	0.04	-10
5.80	0.04	-11
5.84	0.04	-10
5.88	0.04	-10
5.92	0.04	-9
5.96	0.04	-9
6.00	0.04	-7
6.04	0.04	-7
6.08	0.04	-7
6.12	0.04	-7
6.16	0.04	-6
6.20	0.04	-8
6.24	0.04	-6
6.28	0.04	-7
6.32	0.04	-6
6.36	0.04	-6
6.40	0.04	-4
6.44	0.04	-6
6.48	0.04	-5
6.52	0.04	-6
6.56	0.04	-6
6.60	0.04	-6
6.64	0.04	-6
6.68	0.04	-5
6.72	0.04	-5
6.76	0.04	-5
6.80	0.04	75
6.84	0.04	74
6.88	0.04	73
6.92	0.04	74
6.96	0.04	73
7.00	0.04	73
7.04	0.04	74
7.08	0.04	73
7.12	0.04	75
7.16	0.04	75
7.20	0.04	76
7.24	0.04	77
7.28	0.04	77
7.32	0.04	79
7.36	0.04	82
7.40	0.04	84
7.44	0.04	86
7.48	0.04	85
7.52	0.04	88
7.56	0.04	89
7.60	0.04	89
7.64	0.04	91
7.68	0.04	91
7.72	0.04	89
7.76	0.04	88
7.80	0.04	86
7.84	0.04	86
7.88	0.04	85
7.92	0.04	86
7.96	0.04	83
8.00	0.04	83
8.04	0.04	83
8.08	0.04	83
8.12	0.04	84
8.16	0.04	86
8.20	0.04	87
8.24	0.04	90
8.28	0.04	91
8.32	0.04	92
8.36	0.04	93
8.40	0.04	93
8.44	0.04	94
8.48	0.04	96
8.52	0.04	98
8.56	0.04	99
8.60	0.04	101
